# Economia do produto = custo de cada posicao liquida executada sozinha - custo da pool.
# Nao se roda P0 por cliente: a entrada ja e liquida por decisao de negocio.
# Valores em bps; BRL sintetico nao deve ser apresentado como projecao comercial.
nome_mix,n_clientes,janela_dias,horizonte_dias,seed_base,finalidade,direcao,aliquota_base,delta_volume_remetido_brl,iof_evitado_brl_base,iof_evitado_bps_base,delta_bps_por_1bp_aliquota
equilibrado,8,1,365,7,ANEXO_V_BENS_SERVICOS,OUT,0.00380000,50798147.15,193032.959170,5.322164,0.14005694
equilibrado,8,1,365,7,ANEXO_V_DISPONIBILIDADE,IN,0.00380000,58588332.82,222635.664716,6.138348,0.16153547
equilibrado,8,1,365,7,ANEXO_V_DISPONIBILIDADE,OUT,0.03500000,19529541.95,683533.968250,18.845899,0.05384543
equilibrado,8,1,365,7,ANEXO_V_RECEITA_EXPORTACAO,IN,0E-8,68154589.71,0.000000,0.000000,0.18791085
equilibrado,8,1,365,7,ANEXO_V_REMESSA_TERCEIRO,OUT,0.03500000,13833295.61,484165.346350,13.349053,0.03814015
equilibrado,8,7,365,7,ANEXO_V_ATIVOS_VIRTUAIS,IN,0.00380000,24792556.85,94211.716030,2.597537,0.06835623
equilibrado,8,7,365,7,ANEXO_V_ATIVOS_VIRTUAIS,OUT,0.03500000,66035310.95,2311235.883250,63.723706,0.18206773
equilibrado,8,7,365,7,ANEXO_V_BENS_SERVICOS,OUT,0.00380000,49446816.63,187897.903194,5.180584,0.13633115
equilibrado,8,7,365,7,ANEXO_V_DISPONIBILIDADE,IN,0.00380000,57151533.03,217175.825514,5.987813,0.15757403
equilibrado,8,7,365,7,ANEXO_V_DISPONIBILIDADE,OUT,0.03500000,19858546.03,695049.111050,19.163386,0.05475253
equilibrado,8,7,365,7,ANEXO_V_RECEITA_EXPORTACAO,IN,0E-8,67122234.49,0.000000,0.000000,0.18506452
equilibrado,8,7,365,7,ANEXO_V_REMESSA_TERCEIRO,OUT,0.03500000,13725650.76,480397.776600,13.245176,0.03784336
equilibrado,8,1,365,8,ANEXO_V_ATIVOS_VIRTUAIS,IN,0.00380000,23578080.37,89596.705406,2.550332,0.06711399
equilibrado,8,1,365,8,ANEXO_V_ATIVOS_VIRTUAIS,OUT,0.03500000,51253322.63,1793866.292050,51.061633,0.14589038
equilibrado,8,1,365,8,ANEXO_V_BENS_SERVICOS,OUT,0.00380000,61608475.66,234112.207508,6.663903,0.17536588
equilibrado,8,1,365,8,ANEXO_V_DISPONIBILIDADE,IN,0.00380000,58441138.11,222076.324818,6.321307,0.16635019
equilibrado,8,1,365,8,ANEXO_V_DISPONIBILIDADE,OUT,0.03500000,24419732.09,854690.623150,24.328401,0.06950972
equilibrado,8,1,365,8,ANEXO_V_RECEITA_EXPORTACAO,IN,0E-8,65539682.01,0.000000,0.000000,0.18655589
equilibrado,8,1,365,8,ANEXO_V_REMESSA_TERCEIRO,OUT,0.03500000,10277370.11,359707.953850,10.238932,0.02925409
equilibrado,8,7,365,8,ANEXO_V_ATIVOS_VIRTUAIS,IN,0.00380000,24446860.23,92898.068874,2.644304,0.06958694
equilibrado,8,7,365,8,ANEXO_V_ATIVOS_VIRTUAIS,OUT,0.03500000,53042469.32,1856486.426200,52.844088,0.15098311
equilibrado,8,7,365,8,ANEXO_V_BENS_SERVICOS,OUT,0.00380000,60715951.30,230720.614940,6.567363,0.17282534
equilibrado,8,7,365,8,ANEXO_V_DISPONIBILIDADE,IN,0.00380000,58630789.05,222796.998390,6.341821,0.16689002
equilibrado,8,7,365,8,ANEXO_V_DISPONIBILIDADE,OUT,0.03500000,24321098.34,851238.441900,24.230136,0.06922896
equilibrado,8,7,365,8,ANEXO_V_RECEITA_EXPORTACAO,IN,0E-8,65004800.91,0.000000,0.000000,0.18503337
equilibrado,8,7,365,8,ANEXO_V_REMESSA_TERCEIRO,OUT,0.03500000,10002931.23,350102.593050,9.965520,0.02847291
equilibrado,8,1,365,9,ANEXO_V_ATIVOS_VIRTUAIS,IN,0.00380000,33741159.92,128216.407696,3.590006,0.09447385
equilibrado,8,1,365,9,ANEXO_V_ATIVOS_VIRTUAIS,OUT,0.03500000,49166914.23,1720841.998050,48.182862,0.13766532
equilibrado,8,1,365,9,ANEXO_V_BENS_SERVICOS,OUT,0.00380000,36847799.82,140021.639316,3.920548,0.10317231
equilibrado,8,1,365,9,ANEXO_V_DISPONIBILIDADE,IN,0.00380000,50273251.47,191038.355586,5.348995,0.14076302
equilibrado,8,1,365,9,ANEXO_V_DISPONIBILIDADE,OUT,0.03500000,47087853.26,1648074.864100,46.145412,0.13184403
equilibrado,8,1,365,9,ANEXO_V_RECEITA_EXPORTACAO,IN,0E-8,60240830.38,0.000000,0.000000,0.16867182
equilibrado,8,1,365,9,ANEXO_V_REMESSA_TERCEIRO,OUT,0.03500000,11152674.46,390343.606100,10.929459,0.03122703
equilibrado,8,7,365,9,ANEXO_V_ATIVOS_VIRTUAIS,IN,0.00380000,34894605.50,132599.500900,3.712731,0.09770345
equilibrado,8,7,365,9,ANEXO_V_ATIVOS_VIRTUAIS,OUT,0.03500000,53064627.15,1857261.950250,52.002564,0.14857875
