# Testes analiticos, nao cotacao nem previsao comercial.
# Base hipotetica: spread=25 bps, tarifa fixa=R$40 e carry=4 bps.
# IOF incerto: BENS_SERVICOS OUT=38 bps e ATIVOS_VIRTUAIS OUT=350 bps na base.
# Cada Ordem e uma posicao liquida; nao ha deducao adicional de autonetting.
# Cada semente representa uma carteira-ano sintetica de 365 dias.
nome_mix,n_clientes,janela_dias,horizonte_dias,seed_base,economia_base_bps,economia_piso_bps,economia_combinada_severa_bps,carry_break_even_base_bps,carry_break_even_piso_bps,spread_minimo_no_piso_bps
equilibrado,8,7,365,81,119.679655,40.471297,23.429104,151.473553,53.870180,0.000000
equilibrado,8,1,365,82,129.422260,36.059622,20.118039,174.489183,51.501685,0.000000
equilibrado,8,7,365,82,130.693756,36.739078,20.684935,174.957047,52.057416,0.000000
equilibrado,8,1,365,83,134.540897,48.872645,31.441763,166.089264,62.879726,0.000000
equilibrado,8,7,365,83,136.105200,48.844958,31.275749,166.682862,62.383056,0.000000
equilibrado,8,1,365,84,116.725901,40.992484,25.657024,163.841565,60.134094,0.000000
equilibrado,8,7,365,84,119.704755,40.959784,25.437907,165.952054,59.415686,0.000000
equilibrado,8,1,365,85,122.518165,41.910691,26.113777,166.872411,59.714965,0.000000
equilibrado,8,7,365,85,124.295621,41.745626,25.846379,168.171803,59.138344,0.000000
equilibrado,8,1,365,86,138.318151,43.091892,25.244517,166.751170,54.703800,0.000000
equilibrado,8,7,365,86,138.897117,42.423610,24.520921,166.927449,53.763240,0.000000
equilibrado,8,1,365,87,135.284276,65.108315,47.669705,166.912629,82.405022,0.000000
equilibrado,8,7,365,87,137.790858,64.981890,47.366859,168.269255,81.469048,0.000000
equilibrado,8,1,365,88,131.847405,46.566781,29.396005,165.250459,60.951555,0.000000
equilibrado,8,7,365,88,133.273518,44.627569,27.352129,166.007097,58.249209,0.000000
equilibrado,8,1,365,89,129.312815,47.670916,29.887591,156.703115,60.293704,0.000000
equilibrado,8,7,365,89,130.483469,47.352524,29.455442,157.106124,59.562298,0.000000
equilibrado,8,1,365,90,114.415804,28.440640,12.889762,158.507796,42.406412,0.000000
equilibrado,8,7,365,90,117.900891,28.241457,12.418986,160.481166,41.482805,0.000000
equilibrado,8,1,365,91,132.811105,63.696195,47.461977,175.799664,86.395105,0.000000
equilibrado,8,7,365,91,132.828805,63.202291,46.955305,175.687531,85.691958,0.000000
equilibrado,8,1,365,92,137.690722,48.467123,31.935314,178.905551,65.566740,0.000000
equilibrado,8,7,365,92,140.195386,47.069368,30.446713,181.113891,63.464431,0.000000
equilibrado,8,1,365,93,129.236158,27.795747,9.627513,153.379368,36.128092,0.000000
equilibrado,8,7,365,93,132.907876,28.109835,9.638403,155.101734,35.957811,0.000000
equilibrado,8,1,365,94,117.088003,41.480877,26.307663,166.051894,61.410277,0.000000
equilibrado,8,7,365,94,117.332437,41.337472,26.151049,166.248949,61.162040,0.000000
equilibrado,8,1,365,95,140.114638,35.848516,17.643091,165.622560,45.351347,0.000000
equilibrado,8,7,365,95,142.950001,35.934331,17.495092,166.802273,44.924734,0.000000
equilibrado,8,1,365,96,143.772639,62.316158,44.871983,177.079290,79.018699,0.000000
equilibrado,8,7,365,96,147.307875,62.447452,44.818624,179.477654,78.389318,0.000000
equilibrado,8,1,365,97,113.081864,40.912963,24.935008,152.624724,57.772352,0.000000
equilibrado,8,7,365,97,114.871563,39.968087,23.942189,154.525282,56.373341,0.000000
equilibrado,8,1,365,98,116.783575,37.531730,21.731267,159.214127,53.882484,0.000000
equilibrado,8,7,365,98,117.037879,35.718827,19.894739,159.319881,51.402123,0.000000
equilibrado,8,1,365,99,123.973734,41.129196,24.324786,158.926499,55.398003,0.000000
equilibrado,8,7,365,99,125.342306,40.269140,23.421701,160.236709,54.194688,0.000000
equilibrado,8,1,365,100,127.018944,52.058407,35.380564,163.936619,69.549636,0.000000
equilibrado,8,7,365,100,128.586084,50.597047,33.820777,164.959961,67.335771,0.000000
equilibrado,8,1,365,101,130.064091,42.154465,24.763210,161.052836,54.901661,0.000000
equilibrado,8,7,365,101,135.816627,42.707881,24.790723,163.185356,54.056237,0.000000
equilibrado,8,1,365,102,128.944882,56.307209,39.643142,166.495897,74.958152,0.000000
equilibrado,8,7,365,102,129.364122,54.820354,38.114350,166.614983,72.910999,0.000000
equilibrado,8,1,365,103,113.223082,41.889327,26.445108,157.953057,60.958261,0.000000
equilibrado,8,7,365,103,115.799907,40.981570,25.208890,158.177860,58.563522,0.000000
equilibrado,8,1,365,104,113.239059,38.683235,22.993589,155.566214,55.776053,0.000000
equilibrado,8,7,365,104,115.339841,38.577319,22.761568,157.147117,55.222588,0.000000
equilibrado,8,1,365,105,124.424735,39.576300,22.894152,160.629676,53.819861,0.000000
equilibrado,8,7,365,105,126.100580,39.485123,22.766834,162.396124,53.597634,0.000000
equilibrado,8,1,365,106,137.874257,47.738140,31.008700,177.069714,63.924357,0.000000
equilibrado,8,7,365,106,139.227463,48.457760,31.604231,177.481573,64.379815,0.000000
equilibrado,8,1,365,107,115.521929,34.959794,19.561271,161.545013,51.677019,0.000000
equilibrado,8,7,365,107,116.669632,34.711925,19.260125,162.561609,51.175762,0.000000
equilibrado,8,1,365,108,122.615999,41.843519,26.567132,172.556608,61.521055,0.000000
equilibrado,8,7,365,108,123.711446,41.798241,26.422860,172.967544,61.088866,0.000000
equilibrado,8,1,365,109,132.864884,51.723008,34.584404,166.799874,67.376409,0.000000
equilibrado,8,7,365,109,135.716069,51.521187,34.183965,168.388358,66.405899,0.000000
equilibrado,8,1,365,110,134.891607,52.298874,34.716267,165.109427,66.463795,0.000000
equilibrado,8,7,365,110,135.652659,52.168666,34.531585,165.517988,66.115834,0.000000
equilibrado,8,1,365,111,117.171493,46.256865,29.392752,149.907547,61.601261,0.000000
equilibrado,8,7,365,111,119.425862,44.840793,27.881151,151.877125,59.523381,0.000000
equilibrado,8,1,365,112,121.751383,37.402562,22.147469,171.601669,55.487971,0.000000
equilibrado,8,7,365,112,122.291282,37.423648,22.125778,171.874150,55.372943,0.000000
equilibrado,8,1,365,113,122.570286,47.793510,31.944369,166.404764,67.326063,0.000000
equilibrado,8,7,365,113,123.451928,47.635587,31.748163,167.178781,66.964728,0.000000
equilibrado,8,1,365,114,123.339177,43.699312,26.716024,156.510086,58.034623,0.000000
equilibrado,8,7,365,114,124.369569,42.667609,25.577767,156.825342,56.429963,0.000000
equilibrado,8,1,365,115,130.628304,57.883615,41.289919,169.315454,77.254078,0.000000
equilibrado,8,7,365,115,131.872869,57.862006,41.172592,169.933342,76.806757,0.000000
equilibrado,8,1,365,116,117.399371,36.418868,19.522919,149.915852,49.265065,0.000000
equilibrado,8,7,365,116,119.122703,36.686554,19.577896,150.217007,49.030863,0.000000
equilibrado,8,1,365,117,114.507555,33.762980,17.893448,155.526753,48.678228,0.000000
equilibrado,8,7,365,117,115.918496,33.288785,17.369105,156.910637,47.911969,0.000000
equilibrado,8,1,365,118,124.863572,55.523164,38.128633,154.744795,71.031784,0.000000
equilibrado,8,7,365,118,127.734035,55.418697,37.813683,156.366521,70.105749,0.000000
