# Contrato de leitura: cada Ordem e uma posicao liquida que o cliente decidiu enviar ao orquestrador.
# O baseline executa cada posicao liquida sozinha; nao ha segunda deducao de autonetting.
# Spread, custo fixo e duas regras de IOF ainda nao sao dados calibrados/confirmados.
nome_mix,n_clientes,janela_dias,horizonte_dias,n_sementes,economia_produto_bps_p10,economia_produto_bps_p50,economia_produto_bps_p90,iof_evitado_bps_p10,iof_evitado_bps_p50,iof_evitado_bps_p90,spread_evitado_bps_p10,spread_evitado_bps_p50,spread_evitado_bps_p90,fixo_evitado_bps_p10,fixo_evitado_bps_p50,fixo_evitado_bps_p90,carry_criado_bps_p10,carry_criado_bps_p50,carry_criado_bps_p90,espera_criada_bps_p10,espera_criada_bps_p50,espera_criada_bps_p90,participacao_iof_p10,participacao_iof_p50,participacao_iof_p90,participacao_spread_p10,participacao_spread_p50,participacao_spread_p90,participacao_fixo_p10,participacao_fixo_p50,participacao_fixo_p90,participacao_carry_p10,participacao_carry_p50,participacao_carry_p90,delta_bps_por_1bp_spread_p10,delta_bps_por_1bp_spread_p50,delta_bps_por_1bp_spread_p90,delta_bps_por_1real_fixo_p10,delta_bps_por_1real_fixo_p50,delta_bps_por_1real_fixo_p90,delta_bps_por_1bp_carry_p10,delta_bps_por_1bp_carry_p50,delta_bps_por_1bp_carry_p90
retail_pesado,3,7,365,300,61.529052,71.970421,83.755012,51.211328,60.876089,71.252473,6.599398,7.844856,9.182019,4.165549,4.733703,5.292642,-1.469124,-1.253381,-1.055904,0.000000,0.000000,0.000000,0.833784,0.843967,0.851517,0.107446,0.108759,0.109732,0.056308,0.064728,0.075961,-0.017557,-0.017400,-0.017191,0.263976,0.313794,0.367281,0.104139,0.118343,0.132316,-0.367281,-0.313345,-0.263976
retail_pesado,4,1,365,300,69.806842,80.661708,92.570217,57.273748,67.105323,77.380060,7.380638,8.647594,9.971658,5.761034,6.422775,7.163898,-1.595465,-1.380898,-1.180902,0.000000,0.000000,0.000000,0.819326,0.830141,0.839723,0.105583,0.106977,0.108212,0.069379,0.080192,0.091984,-0.017314,-0.017113,-0.016893,0.295226,0.345904,0.398866,0.144026,0.160569,0.179097,-0.398866,-0.345224,-0.295226
retail_pesado,4,7,365,300,69.988502,80.780094,92.869539,57.388233,67.260392,77.778006,7.395391,8.667576,10.022939,5.764899,6.419665,7.157022,-1.603670,-1.386435,-1.183262,0.000000,0.000000,0.000000,0.819385,0.830386,0.839845,0.105591,0.107009,0.108227,0.069244,0.079747,0.091919,-0.017316,-0.017121,-0.016895,0.295816,0.346703,0.400918,0.144122,0.160492,0.178926,-0.400918,-0.346609,-0.295816
retail_pesado,6,1,365,300,75.714736,87.684770,98.507361,60.293662,71.065056,80.674943,7.769802,9.157868,10.396255,8.222446,9.017385,9.857791,-1.663401,-1.464820,-1.243169,0.000000,0.000000,0.000000,0.794924,0.809685,0.821365,0.102439,0.104341,0.105846,0.089724,0.102998,0.119027,-0.016935,-0.016688,-0.016390,0.310792,0.366315,0.415850,0.205561,0.225435,0.246445,-0.415850,-0.366205,-0.310792
retail_pesado,6,7,365,300,75.751120,87.833232,98.689904,60.293662,71.065056,81.159212,7.769802,9.157868,10.458662,8.222034,9.014108,9.849538,-1.673386,-1.465042,-1.243169,0.000000,0.000000,0.000000,0.795271,0.809768,0.821494,0.102483,0.104351,0.105863,0.089582,0.102582,0.118644,-0.016938,-0.016696,-0.016397,0.310792,0.366315,0.418346,0.205551,0.225353,0.246238,-0.418347,-0.366260,-0.310792
retail_pesado,8,1,365,300,108.912975,122.649312,135.100100,93.144641,105.670888,117.141972,12.003175,13.617382,15.095615,5.133106,5.546060,6.001916,-2.415299,-2.178435,-1.920508,0.000000,0.000000,0.000000,0.855975,0.861313,0.866014,0.110306,0.110994,0.111600,0.040242,0.045490,0.051368,-0.017856,-0.017758,-0.017649,0.480127,0.544695,0.603825,0.128328,0.138652,0.150048,-0.603825,-0.544609,-0.480127
retail_pesado,8,7,365,300,109.107936,123.337820,136.034807,93.290937,106.272331,117.627362,12.022028,13.694888,15.158165,5.136844,5.550208,6.004146,-2.425307,-2.190287,-1.923524,0.000000,0.000000,0.000000,0.856309,0.861589,0.866188,0.110349,0.111030,0.111622,0.040050,0.045158,0.050997,-0.017860,-0.017764,-0.017656,0.480881,0.547796,0.606327,0.128421,0.138755,0.150104,-0.606327,-0.547572,-0.480881
retail_pesado,12,1,365,300,109.392253,120.515973,131.900058,93.007981,103.219655,113.331957,11.985565,13.301502,14.604634,5.816712,6.172183,6.567990,-2.336741,-2.128068,-1.917690,0.000000,0.000000,0.000000,0.850498,0.856276,0.860941,0.109600,0.110345,0.110946,0.045864,0.051059,0.057438,-0.017751,-0.017655,-0.017536,0.479423,0.532060,0.584185,0.145418,0.154305,0.164200,-0.584185,-0.532017,-0.479423
retail_pesado,12,7,365,300,109.550733,120.985733,132.395837,93.270733,103.706063,113.521259,12.019424,13.364183,14.629028,5.818085,6.170707,6.576348,-2.340644,-2.137082,-1.923108,0.000000,0.000000,0.000000,0.850587,0.856364,0.861155,0.109612,0.110356,0.110974,0.045627,0.050964,0.057339,-0.017756,-0.017656,-0.017538,0.480777,0.534567,0.585161,0.145452,0.154268,0.164409,-0.585161,-0.534271,-0.480777
retail_pesado,16,1,365,300,110.120482,120.246709,129.098390,93.601500,102.667336,110.616218,12.062049,13.230327,14.254667,6.162223,6.505760,6.858985,-2.280747,-2.114953,-1.929928,0.000000,0.000000,0.000000,0.848519,0.853448,0.857576,0.109345,0.109980,0.110512,0.049593,0.054246,0.059631,-0.017682,-0.017595,-0.017495,0.482482,0.529213,0.570187,0.154056,0.162644,0.171475,-0.570187,-0.528738,-0.482482
