# Contrato de leitura: cada Ordem e uma posicao liquida que o cliente decidiu enviar ao orquestrador.
# O baseline executa cada posicao liquida sozinha; nao ha segunda deducao de autonetting.
# Spread, custo fixo e duas regras de IOF ainda nao sao dados calibrados/confirmados.
nome_mix,n_clientes,janela_dias,horizonte_dias,seed_base,volume_bruto_brl,economia_produto_bps,iof_evitado_bps,spread_evitado_bps,fixo_evitado_bps,carry_criado_bps,espera_criada_bps,participacao_iof,participacao_spread,participacao_fixo,participacao_carry,delta_bps_por_1bp_spread,delta_bps_por_1real_fixo,delta_bps_por_1bp_carry,erro_recomposicao_brl
equilibrado,2,1,365,10,85109193.28,114.328078,99.998018,16.349023,0.596880,-2.615844,0.000000,0.874658,0.143001,0.005221,-0.022880,0.653961,0.014922,-0.653961,-0.01
equilibrado,2,7,365,10,85109193.28,115.075544,100.649389,16.457827,0.601580,-2.633253,0.000000,0.874638,0.143018,0.005228,-0.022883,0.658313,0.015040,-0.658313,0.00
equilibrado,2,1,365,11,83910607.35,93.204880,82.275558,12.409551,0.505300,-1.985528,0.000000,0.882739,0.133143,0.005421,-0.021303,0.496382,0.012632,-0.496382,0.00
equilibrado,2,7,365,11,83910607.35,93.266511,82.337189,12.409551,0.505300,-1.985528,0.000000,0.882816,0.133055,0.005418,-0.021289,0.496382,0.012632,-0.496382,0.00
equilibrado,2,1,365,12,89634018.41,88.640797,75.235333,15.475438,0.406096,-2.476070,0.000000,0.848766,0.174586,0.004581,-0.027934,0.619018,0.010152,-0.619017,0.00
equilibrado,2,7,365,12,89634018.41,89.264867,75.794421,15.547485,0.410558,-2.487598,0.000000,0.849096,0.174173,0.004599,-0.027868,0.621899,0.010264,-0.621899,0.00
equilibrado,2,1,365,13,103419479.16,106.890476,95.152834,13.425454,0.460261,-2.148073,0.000000,0.890190,0.125600,0.004306,-0.020096,0.537018,0.011507,-0.537018,0.00
equilibrado,2,7,365,13,103419479.16,106.890476,95.152834,13.425454,0.460261,-2.148073,0.000000,0.890190,0.125600,0.004306,-0.020096,0.537018,0.011507,-0.537018,0.00
equilibrado,2,1,365,14,92609338.28,99.133264,87.668579,13.123958,0.440560,-2.099834,0.000000,0.884351,0.132387,0.004444,-0.021182,0.524958,0.011014,-0.524958,0.00
equilibrado,2,7,365,14,92609338.28,99.492779,88.028093,13.123958,0.440560,-2.099834,0.000000,0.884769,0.131909,0.004428,-0.021105,0.524958,0.011014,-0.524958,-0.01
